"municipio_chave","municipio","assentamento_chave","assentamento","n"
"cameta","Cameta","jacare xingu","Jacare Xingu",45
"maraba","Maraba","pa 3 ilhas","PA 3 Ilhas",37
"cameta pa","Cameta","rio mendarucu de cima","Rio Mendarucu de Cima",26
"maraba","Maraba","pds porto seguro","PDS Porto Seguro",24
"agua azul do norte","Agua Azul do Norte","dina teixeira","Dina Teixeira",20
"rondon","Rondon do Para","deus te ama","Deus Te Ama",16
"pau d arco","Pau D'Arco","jane julia","Jane Julia",14
"parauapebas","Parauapebas","palmares ii","Palmares II",13
"cameta pa","Cameta","joroca de cima","Joroca de Cima",12
"canaa dos carajas","Canaa dos Carajas","uniao americo santana","Uniao Americo Santana",12
"rondon","Rondon do Para","nova vitoria","Nova Vitoria",12
"maraba pa","Maraba","pds porto seguro","PDS Porto Seguro",10
"parauapebas","Parauapebas","palmares 2","Palmares II",10
"cameta pa","Cameta","mendarucu de cima","Rio Mendarucu de Cima",8
"rondon do para","Rondon do Para","deus te ama","Deus Te Ama",8
"rondon do para","Rondon do Para","nova vitoria","Nova Vitoria",8
"canaa","Canaa dos Carajas","uniao americo santana","Uniao Americo Santana",7
"cameta","Cameta","joroca grande","Joroca Grande",6
"canaa dos carajas","Canaa dos Carajas","americo santana","Americo Santana",6
"cameta pa","Cameta","itanduba","Itanduba",5
"agua azul do norte","Agua Azul do Norte","dina texeira","Dina Teixeira",4
"cameta pa","Cameta","rio furtados","Rio Furtados",3
"pau darco","Pau D'Arco","jane julia","Jane Julia",3
"cameta pa","Cameta","joroca grande","Joroca Grande",2
"maraba","Maraba","pa tres ilhas","PA 3 Ilhas",2
"parauapebas","Parauapebas","palmares","Palmares (nao identificado)",2
"agua azul do norte","Agua Azul do Norte","dna teixeira","Dina Teixeira",1
"agua azul do norte","Agua Azul do Norte","uniao da vitoria","Uniao da Vitoria",1
"agua do azul do norte","Agua Azul do Norte","dina texeira","Dina Teixeira",1
"cameta","Cameta","ilha de jacare xingu","Jacare Xingu",1
"cameta","Cameta","rio mendarucu de cima","Rio Mendarucu de Cima",1
"cameta pa","Cameta","cameta pa","Nao identificado (registro inconsistente)",1
"cameta pa","Cameta","furtado","Rio Furtados",1
"cameta pa","Cameta","joroca","Joroca",1
"cameta pa","Cameta","rio mendarucu","Rio Mendarucu (nao identificado)",1
"maraba","Maraba","3 ilhas","PA 3 Ilhas",1
"maraba","Maraba","pds porgo seguro","PDS Porto Seguro",1
"maraba ma","Maraba","pds porto seguro","PDS Porto Seguro",1
"maraba pa","Maraba","psd porto seguro","PDS Porto Seguro",1
"pau d arco","Pau D'Arco","jane julia fazenda sta lucia","Jane Julia",1
"pau d arco","Pau D'Arco","santa lucia","Santa Lucia",1
"pau d arcos","Pau D'Arco","jane julia","Jane Julia",1
"romdon do para","Rondon do Para","deus te ama","Deus Te Ama",1
"rondon do pa","Rondon do Para","nova vitoria","Nova Vitoria",1
"rondon do para","Rondon do Para","assentamento nova vitoria","Nova Vitoria",1
"rondon do para","Rondon do Para","pa nova vitoria","Nova Vitoria",1
"rondon pa","Rondon do Para","nova viroria","Nova Vitoria",1
"rondon pa","Rondon do Para","nova vitoria","Nova Vitoria",1
